1012.5020  SIII_1012    4.4000e-02  2.2810e+08  32.0660  1,22,1
1020.6989  SiII_1020    1.5100e-02  6.6800e+08  28.0855  1,9,1
1025.2821  ClI_1025     4.4460e-02  0.0000e+00  35.4527    1
1025.4433  D_b          7.9120e-02  2.2450e+07   2.0079    1
1025.7223  Ly_b         7.9120e-02  1.8970e+08   1.0079    1
1025.7616  OI_1025      1.7050e-02  1.0070e+08  15.9994    1
1025.9681  MgII_1025    7.4270e-04  0.0000e+00  24.3050  1,17
1026.1134  MgII_1026    3.9210e-04  0.0000e+00  24.3050  1,17
1026.4757  OI_1026      8.7070e-08  5.3030e+07  15.9994  1,20,1 
1028.1739  ClI_1028     2.2280e-02  0.0000e+00  35.4527    1
1030.8845  ClI_1030     2.8700e-02  0.0000e+00  35.4527    1
1031.5070  ClI_1031     1.5060e-01  0.0000e+00  35.4527    1
1031.9261  OVI_1031     1.3290e-01  4.1630e+08  15.9994    1
1036.3367  CII_1036     1.2310e-01  2.2900e+09  12.0107    1
1037.0182  CII*_1037    1.2300e-01  2.2900e+09  12.0107    1
1037.6167  OVI_1037     6.6090e-02  4.0950e+08  15.9994    1
1039.2304  OI_1039      9.1970e-03  1.8880e+08  15.9994    1
1042.7793  ClI_1042     2.5000e-02  0.0000e+00  35.4527    1
1043.9857  ClI_1043     1.8110e-02  0.0000e+00  35.4527    1
1048.2199  ArI_1048     2.6300e-01  3.1800e+07  39.9480    2 
1055.2617  FeII_1055    7.5000e-03  0.0000e+00  55.8450  1,3
1058.7320  CrII_1058    1.6850e-03  0.0000e+00  51.9961    29
1059.7320  CrII_1059    1.0880e-02  0.0000e+00  51.9961    29
1062.1520  FeII_1062    3.8020e-03  0.0000e+00  55.8450    1
1062.6620  SIV_1062     4.8700e-02  1.4100e+08  32.0660  1,9,1
1063.1764  FeII_1063.1  5.9980e-02  0.0000e+00  55.8450    1
1063.9718  FeII_1063.9  3.7000e-03  0.0000e+00  55.8450  1,3
1064.1240  CrII_1064    7.9770e-03  0.0000e+00  51.9961    29
1066.6598  ArI_1066     6.7500e-02  1.3200e+08  39.9480    2 
1066.7760  CrII_1066    5.2050e-03  0.0000e+00  51.9961    29
1081.8750  FeII_1081    1.2600e-02  0.0000e+00  55.8450    29
1083.4200  FeII_1083    2.7990e-03  0.0000e+00  55.8450    29
1083.9900  NII_1084     1.1070e-01  3.7400e+08  14.0067  1,21,2
1084.6670  ClI_1084     3.2000e-02  0.0000e+00  35.4527  1,33
1088.0589  ClI_1088     8.1000e-02  0.0000e+00  35.4527  1,34
1094.7686  ClI_1094     1.6600e-02  0.0000e+00  35.4527  1,33  
1096.8098  ClI_1096     1.0900e-02  0.0000e+00  35.4527  1,33  
1096.8769  FeII_1096    3.2000e-02  0.0000e+00  55.8450  1,3
1097.3692  ClI_1097     8.8000e-03  0.0000e+00  35.4527  1,34  
1099.5230  ClI_1099     1.1400e-02  0.0000e+00  35.4527  1,33  
1101.9361  ClI_1101     1.1300e-02  0.0000e+00  35.4527  1,33
1103.6290  CI_1103      1.4450e-02  0.0000e+00  12.0107    1  
1106.4490  VII_1106.4   2.3880e-02  0.0000e+00  50.9415    1
1106.5710  VII_1106.5   1.2330e-01  0.0000e+00  50.9415    1   
1112.0480  FeII_1112    6.2000e-03  0.0000e+00  55.8450  1,3
1112.2690  CI_1112      1.6060e-02  0.0000e+00  12.0107    1  
1114.6280  CI_1114      1.1290e-02  0.0000e+00  12.0107    1  
1117.9770  PV_1117      4.7320e-01  1.2630e+09  30.9738    1
1121.9748  FeII_1121    2.0200e-02  0.0000e+00  55.8450  1,3
1122.5260  FeIII_1122   7.8840e-02  0.0000e+00  55.8450    1
1125.4477  FeII_1125    1.6000e-02  0.0000e+00  55.8450  1,3
1127.0984  FeII_1127    2.8000e-03  0.0000e+00  55.8450  1,3
1128.0080  PV_1128      2.3450e-01  1.2290e+09  30.9738    1
1133.6650  FeII_1133    5.5000e-03  0.0000e+00  55.8450  1,3
1134.1653  NI_1134.1    1.3420e-02  1.3920e+08  14.0067    1
1134.4149  NI_1134.4    2.6830e-02  1.3910e+08  14.0067    1
1134.9803  NI_1134.9    4.0230e-02  1.3890e+08  14.0067    1
1139.7930  CI_1139      1.3960e-02  0.0000e+00  12.0107    1
1142.3656  FeII_1142    4.2000e-03  0.0000e+00  55.8450  1,3
1143.2260  FeII_1143    1.7700e-02  0.0000e+00  55.8450  1,3
1144.9379  FeII_1144    1.0600e-01  0.0000e+00  55.8450  1,3
1152.8180  PII_1152     2.3610e-01  1.2300e+09  30.9738  1,1,2
1157.9097  CI_1157      2.1780e-02  0.0000e+00  12.0107    1
1162.0150  MnII_1162    1.0160e-02  0.0000e+00  54.9381    1
1187.4170  CoII_1187    7.4200e-03  0.0000e+00  58.9332  1,27
